product_code,name,slug,category,collections,price,compare_at_price,currency_code,availability,featured,new_arrival,best_seller,published,short_description,description,long_description,material,color,finish,dimensions,occasions,tags,badges,seo_title,seo_description
AJ-CD-001,Solenne Pearl Drop Set,solenne-pearl-drop-set,sets,"pearl-edit|wedding-glow|gift-picks",2890,3490,BDT,ask_about_availability,true,false,true,false,"A graceful pearl-inspired set for polished gifting.","Solenne pairs a softly luminous drop pendant with matching earrings for an effortlessly composed look.","Designed as a concept for celebrations and thoughtful gifting, Solenne brings a refined pearl mood to festive dressing without feeling overly formal. Its balanced proportions make the set easy to style with sarees, occasion tailoring, or a simple evening dress.",pearl-inspired alloy,ivory gold,polished,pendant 2.4 cm; earrings 1.6 cm,"wedding|festive|gifting","pearl|matching-set|soft-lustre",Signature Pick,Solenne Pearl Drop Set | Aurevia Jewels,"Discover a pearl-inspired Aurevia set concept with luminous drops and graceful gifting appeal."
AJ-CD-002,Aureline Fine Chain,aureline-fine-chain,necklaces,"everyday-elegance|minimal-luxe|golden-hour",1690,1990,BDT,ask_about_availability,false,false,true,false,"A delicate chain concept that layers beautifully.","Aureline is a slim, light-catching chain designed to sit quietly at the collarbone and complement every day.","The Aureline concept is the foundation of an understated necklace edit: refined enough for a workday, gentle enough for daily wear, and easy to combine with pendants or other fine chains. Its clean profile keeps the styling modern and accessible.",alloy,soft gold,polished,chain length 42 cm,"daily wear|workwear|gifting","chain|layering|minimal",Everyday Essential,Aureline Fine Chain Necklace | Aurevia,"Shop the Aureline fine chain necklace concept for easy layering and everyday polish."
AJ-CD-003,Vespera Oval Halo,vespera-oval-halo,rings,"signature-spark|wedding-glow|golden-hour",2350,2790,BDT,ask_about_availability,true,false,false,false,"An oval halo ring concept with a luminous evening mood.","Vespera frames a clear, light-catching centre with a petite halo for a softly glamorous silhouette.","Created for the concept catalog's occasion edit, Vespera balances statement presence with a wearable oval shape. The refined halo catches the light from every angle, making it a graceful choice for dinner dressing, festive invitations, and meaningful gifting moments.",crystal-inspired alloy,champagne gold,polished,face 1.2 cm; band 2 mm,"occasion|festive|gifting","halo|oval|statement-ring",Occasion Edit,Vespera Oval Halo Ring Concept | Aurevia,"Explore Vespera, Aurevia's oval halo ring concept with softly glamorous occasion appeal."
AJ-CD-004,Marielle Curve Hoops,marielle-curve-hoops,earrings,"everyday-elegance|minimal-luxe|gift-picks",1490,1790,BDT,ask_about_availability,false,true,false,false,"Sculpted hoops with a graceful, everyday curve.","Marielle turns the classic hoop into a softly rounded accent with a polished finish and easy movement.","The Marielle concept is made for the woman who wants one dependable pair to lift a weekday look. Its curved profile feels feminine without fuss, moving naturally from office hours to dinner plans and making a considered gift for a modern jewelry wardrobe.",alloy,warm gold,polished,diameter 2.6 cm; width 4 mm,"daily wear|workwear|dinner","hoops|curved|everyday",New Arrival,Marielle Curve Hoop Earrings | Aurevia,"Meet Marielle, a polished curved hoop earring concept for everyday Aurevia styling."
AJ-CD-005,Elara Threader Drops,elara-threader-drops,earrings,"minimal-luxe|signature-spark|golden-hour",1790,2190,BDT,ask_about_availability,false,true,false,false,"Slim threader drops for an elegant line of movement.","Elara adds a delicate threader silhouette that lengthens the look with a subtle glimmer.","Elara is a concept for pared-back occasion styling: a fine line that moves lightly with the wearer and brings a quiet sense of drama. Pair it with a swept-back hairstyle, a silk blouse, or a monochrome festive look for a polished finish.",alloy,brushed gold,mixed polish,length 5.2 cm,"occasion|evening|festive","threader|linear|lightweight",New Arrival,Elara Threader Drop Earrings | Aurevia,"See Elara threader drop earrings, a lightweight linear jewelry concept by Aurevia Jewels."
AJ-CD-006,Nayara Pearl Studs,nayara-pearl-studs,earrings,"pearl-edit|everyday-elegance|gift-picks",1290,1590,BDT,ask_about_availability,false,false,true,false,"Quiet pearl-inspired studs for any polished moment.","Nayara offers a petite, luminous stud silhouette that feels timeless with both traditional and contemporary dressing.","With a softly rounded profile and gentle ivory tone, the Nayara concept is an easy choice for daily wear, first jewelry gifts, and festive looks that call for restraint. It is designed to sit neatly at the ear while adding a considered touch of light.",pearl-inspired alloy,ivory gold,polished,diameter 8 mm,"daily wear|festive|gifting","studs|pearl|classic",Gift Pick,Nayara Pearl Stud Earrings | Aurevia,"Nayara pearl-inspired stud earrings bring timeless, giftable polish to the Aurevia concept edit."
AJ-CD-007,Seraphine Link Bracelet,seraphine-link-bracelet,bracelets,"signature-spark|everyday-elegance|gift-picks",1890,2290,BDT,ask_about_availability,true,false,false,false,"A refined link bracelet with a softly sculpted rhythm.","Seraphine blends petite links into a fluid bracelet that catches light as the wrist moves.","The Seraphine concept brings a little structure to everyday styling. Its measured links feel polished on their own and create a graceful base for a watch or a stack, while the silhouette remains feminine enough for gifting and occasion dressing.",alloy,classic gold,polished,length 17 cm; link 6 mm,"daily wear|workwear|gifting","links|stacking|bracelet",Featured,Seraphine Link Bracelet Concept | Aurevia,"Discover Seraphine, a polished link bracelet concept designed for stacking and gifting."
AJ-CD-008,Noor Petal Bangle,noor-petal-bangle,bangles,"festive-radiance|wedding-glow|golden-hour",2190,2590,BDT,ask_about_availability,false,false,true,false,"A softly petaled bangle for luminous festive styling.","Noor places a subtle petal motif around a clean open bangle for a romantic, modern accent.","The Noor concept translates floral softness into a streamlined bangle that works beautifully with festive layers. Wear it solo for a quiet detail or combine it with slim bangles when the occasion calls for a little more radiance.",alloy,rich gold,polished,inner diameter 5.8 cm; width 7 mm,"festive|wedding|celebration","bangle|petal|floral",Best Seller,Noor Petal Bangle | Aurevia Jewels,"Noor petal bangle is a floral-inspired Aurevia concept for festive and wedding styling."
AJ-CD-009,Amara Stack Rings,amara-stack-rings,rings,"minimal-luxe|everyday-elegance|gift-picks",1590,1890,BDT,ask_about_availability,false,true,false,false,"Two slim rings designed to be worn together or apart.","Amara gives the modern stack a softer profile with two complementary bands and a clean polished glow.","The Amara concept is intentionally versatile: wear the bands together for a finished gesture, separate them across fingers, or combine them with existing favorites. It is a simple, accessible-premium idea for daily styling and easy gifting.",alloy,soft gold,polished,bands 2 mm and 3 mm,"daily wear|workwear|gifting","stacking|bands|versatile",New Arrival,Amara Stack Rings Concept | Aurevia Jewels,"Style Amara, a versatile two-piece stack ring concept made for everyday Aurevia layering."
AJ-CD-010,Mehr Crescent Pendant,mehr-crescent-pendant,pendants,"golden-hour|minimal-luxe|signature-spark",1790,2090,BDT,ask_about_availability,false,false,false,false,"A crescent pendant with a gentle, light-catching curve.","Mehr captures the quiet glow of a crescent in a neat pendant made for close-to-the-heart layering.","The Mehr concept carries a graceful celestial note without becoming ornate. Its curved face sits neatly against the neckline and works with open collars, saree blouses, or layered chains when a subtle focal point is wanted.",alloy,moonlit gold,polished,pendant 1.8 cm; chain 44 cm,"daily wear|evening|gifting","crescent|celestial|pendant",Concept Favorite,Mehr Crescent Pendant | Aurevia,"Mehr is a crescent pendant concept with an understated celestial glow for easy layering."
