type,slug,name,description
category,necklaces,Necklaces,Concept neckwear from fine chains to occasion chokers.
category,earrings,Earrings,Concept studs hoops and drops for everyday and occasion styling.
category,bracelets,Bracelets,Concept wristwear including links cuffs and delicate lines.
category,rings,Rings,Concept bands halos signets and stackable silhouettes.
category,bangles,Bangles,Concept open and woven bangles for festive layering.
category,pendants,Pendants,Concept symbolic and light-catching pendants with chains.
category,sets,Sets,Concept coordinated jewelry pairings for gifting and occasions.
category,anklets,Anklets,Concept delicate ankle accents for everyday finishing touches.
collection,everyday-elegance,Everyday Elegance,Polished pieces imagined for daily wear and easy styling.
collection,wedding-glow,Wedding Glow,Graceful concept pieces for wedding guests and bridal-adjacent gifting.
collection,minimal-luxe,Minimal Luxe,Quiet silhouettes with accessible-premium restraint.
collection,golden-hour,Golden Hour,Warm light-inspired pieces for evening and transitional styling.
collection,pearl-edit,Pearl Edit,Soft ivory and pearl-inspired concept accents.
collection,festive-radiance,Festive Radiance,Joyful concept jewelry for celebrations and traditional dressing.
collection,signature-spark,Signature Spark,Distinctive concept shapes designed to anchor a look.
collection,gift-picks,Gift Picks,Considered concept choices for thoughtful jewelry gifting.
